Invoice ID,City,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Customer_type
750-67-8428,North,Female,Low Carb,74.69,7,26.1415,548.9715,5/1/2021,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,Member
226-31-3081,North,Female,Low Carb,15.28,5,3.82,80.22,8/3/2021,10:29,Cash,76.4,4.761904762,3.82,9.6,Member
631-41-3108,North,Male,Low Carb,46.33,7,16.2155,340.5255,3/3/2021,13:23,Credit card,324.31,4.761904762,16.2155,7.4,Member
123-19-1176,North,Male,Low Carb,58.22,8,23.288,489.048,27/1/2021,20:33,Ewallet,465.76,4.761904762,23.288,8.4,Member
373-73-7910,North,Male,Low Carb,86.31,7,30.2085,634.3785,8/2/2021,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,Member
699-14-3026,North,Male,Low Carb,85.39,7,29.8865,627.6165,25/3/2021,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,Member
355-53-5943,North,Female,Low Carb,68.84,6,20.652,433.692,25/2/2021,14:36,Ewallet,413.04,4.761904762,20.652,5.8,Member
315-22-5665,North,Female,Low Carb,73.56,10,36.78,772.38,24/2/2021,11:38,Ewallet,735.6,4.761904762,36.78,8,Member
665-32-9167,North,Female,Low Carb,36.26,2,3.626,76.146,10/1/2021,17:15,Credit card,72.52,4.761904762,3.626,7.2,Member
692-92-5582,North,Female,Low Carb,54.84,3,8.226,172.746,20/2/2021,13:27,Credit card,164.52,4.761904762,8.226,5.9,Member
351-62-0822,North,Female,Low Carb,14.48,4,2.896,60.816,6/2/2021,18:07,Ewallet,57.92,4.761904762,2.896,4.5,Member
529-56-3974,North,Male,Low Carb,25.51,4,5.102,107.142,9/3/2021,17:03,Cash,102.04,4.761904762,5.102,6.8,Member
365-64-0515,North,Female,Low Carb,46.95,5,11.7375,246.4875,12/2/2021,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,Member
252-56-2699,North,Male,Low Carb,43.19,10,21.595,453.495,7/2/2021,16:48,Ewallet,431.9,4.761904762,21.595,8.2,Member
829-34-3910,North,Female,Low Carb,71.38,10,35.69,749.49,29/3/2021,19:21,Cash,713.8,4.761904762,35.69,5.7,Member
299-46-1805,North,Female,Low Carb,93.72,6,28.116,590.436,15/1/2021,16:19,Cash,562.32,4.761904762,28.116,4.5,Member
656-95-9349,North,Female,Low Carb,68.93,7,24.1255,506.6355,11/3/2021,11:03,Credit card,482.51,4.761904762,24.1255,4.6,Member
765-26-6951,North,Male,Low Carb,72.61,6,21.783,457.443,1/1/2021,10:39,Credit card,435.66,4.761904762,21.783,6.9,Member
329-62-1586,North,Male,Low Carb,54.67,3,8.2005,172.2105,21/1/2021,18:00,Credit card,164.01,4.761904762,8.2005,8.6,Member
319-50-3348,North,Female,Low Carb,40.3,2,4.03,84.63,11/3/2021,15:30,Ewallet,80.6,4.761904762,4.03,4.4,Member
300-71-4605,North,Male,Low Carb,86.04,5,21.51,451.71,25/2/2021,11:24,Ewallet,430.2,4.761904762,21.51,4.8,Member
371-85-5789,North,Male,Low Carb,87.98,3,13.197,277.137,5/3/2021,10:40,Ewallet,263.94,4.761904762,13.197,5.1,Member
273-16-6619,North,Male,Low Carb,33.2,2,3.32,69.72,15/3/2021,12:20,Credit card,66.4,4.761904762,3.32,4.4,Member
636-48-8204,North,Male,Low Carb,34.56,5,8.64,181.44,17/2/2021,11:15,Ewallet,172.8,4.761904762,8.64,9.9,Member
